gene_ID	fit1_conv	fit0_conv	pval	padj	baseMean	log2FoldChange	gene
ENSG00000105664	TRUE	TRUE	4.16614305133168e-20	1.28338036696272e-15	94.4030694771237	3.46470996041926	COMP
ENSG00000211448	TRUE	TRUE	1.34831892238064e-18	2.07674822019677e-14	143.305804864205	2.75204489421188	DIO2
ENSG00000145824	TRUE	TRUE	1.18976667778623e-15	1.22169208364016e-11	195.811845982367	4.1099480366348	CXCL14
ENSG00000211679	TRUE	TRUE	6.04185955857799e-15	4.65298709254987e-11	1867.36477007895	4.13693876535171	IGLC3
ENSG00000170962	TRUE	TRUE	1.18399381537774e-14	7.29458589654227e-11	149.691228835714	2.50992044746896	PDGFD
ENSG00000137745	TRUE	TRUE	4.10687660601029e-14	2.10853889746912e-10	40.8101098976336	3.52332984673338	MMP13
ENSG00000062038	TRUE	TRUE	6.8310783271051e-14	3.00616239809247e-10	331.422618698564	2.00136619635748	CDH3
ENSG00000253364	TRUE	TRUE	3.16744052425973e-13	1.21966256687276e-09	629.08877342722	4.35866565533873	
ENSG00000211893	TRUE	TRUE	4.95628073327153e-13	1.69642475542699e-09	2254.49043509816	4.21476300394837	IGHG2
ENSG00000253755	TRUE	TRUE	1.25515648246018e-12	3.86650954421858e-09	163.50595577743	4.40976452147878	IGHGP
ENSG00000017427	TRUE	TRUE	1.49869952919237e-12	4.19703990879735e-09	830.198797650459	1.50292606211859	IGF1
ENSG00000099953	TRUE	TRUE	2.37828947112622e-12	6.10526726317027e-09	48.3829704037976	2.0589423104936	MMP11
ENSG00000132386	TRUE	TRUE	4.67946177919229e-12	1.10885246236937e-08	1722.81877839599	1.60693207349958	SERPINF1
ENSG00000170476	TRUE	TRUE	6.11321621693902e-12	1.34512589687719e-08	192.7679501456	2.64390629962469	
ENSG00000211934	TRUE	TRUE	8.25069444657127e-12	1.69441761617752e-08	291.168722809533	4.44685364329892	IGHV1-2
ENSG00000211936	TRUE	TRUE	1.16285657604091e-11	2.23886230155877e-08	30.4740012165414	3.26183622238893	IGHV4-4
ENSG00000211892	TRUE	TRUE	1.84351334681168e-11	3.34055462638434e-08	1632.02711457362	6.89399416492692	IGHG4
ENSG00000065618	TRUE	TRUE	2.41311015304881e-11	4.1297699035927e-08	259.006427685111	3.29634393257001	COL17A1
ENSG00000143320	TRUE	TRUE	2.84174359539694e-11	4.60736376085278e-08	59.7057502785351	3.08843457258628	CRABP2
ENSG00000000971	TRUE	TRUE	4.82924918273407e-11	6.88497878447492e-08	2729.42547162846	1.63941045095999	CFH
ENSG00000101230	TRUE	TRUE	4.91704376751983e-11	6.88497878447492e-08	77.2217466464232	1.90803023810086	ISM1
ENSG00000145423	TRUE	TRUE	4.79802912959935e-11	6.88497878447492e-08	729.934508034632	3.39202185633478	SFRP2
ENSG00000175928	TRUE	TRUE	8.4911314001479e-11	1.12030058846291e-07	92.5969904533853	1.8223651712239	LRRN1
ENSG00000211896	TRUE	TRUE	8.72819805976621e-11	1.12030058846291e-07	19949.5962603349	4.67270052548499	IGHG1
ENSG00000224650	TRUE	TRUE	1.59060552544585e-10	1.95994412845438e-07	109.578471394518	2.59380337680709	IGHV3-74
ENSG00000171509	TRUE	TRUE	1.92251688849778e-10	2.22102296922745e-07	57.980009954477	-2.33795733298862	RXFP1
ENSG00000211949	TRUE	TRUE	1.94668463460935e-10	2.22102296922745e-07	486.232007780939	2.81987941043373	IGHV3-23
ENSG00000241244	TRUE	TRUE	2.50356498556522e-10	2.75436854929774e-07	16.7266358881269	3.22627840734719	IGKV1D-16
ENSG00000100979	TRUE	TRUE	2.94937092395665e-10	3.13294383836153e-07	1010.92298571754	1.61232527162549	PLTP
ENSG00000150625	TRUE	TRUE	3.3782122099882e-10	3.25704341618153e-07	164.959756217717	-1.44433506464672	GPM6A
ENSG00000166923	TRUE	TRUE	3.69921727412953e-10	3.25704341618153e-07	101.380142013405	3.74015512749723	GREM1
ENSG00000211671	TRUE	TRUE	3.67415711974323e-10	3.25704341618153e-07	232.97741692061	3.21867287076828	IGLV2-8
ENSG00000211675	TRUE	TRUE	3.57274998562184e-10	3.25704341618153e-07	2121.88600191338	3.63304928705738	IGLC1
ENSG00000244280	TRUE	TRUE	3.70058495589527e-10	3.25704341618153e-07	46.2068996099602	-2.18940897355072	
ENSG00000254709	TRUE	TRUE	3.96973198897316e-10	3.39687760889773e-07	2173.78996532164	3.60628988866184	IGLL5
ENSG00000206075	TRUE	TRUE	4.95035467950657e-10	4.12150475411351e-07	61.8228998550271	3.9366256744233	SERPINB5
ENSG00000182463	TRUE	TRUE	5.55208297099487e-10	4.50083989267097e-07	225.431094999841	1.76531810064298	TSHZ2
